,author,author_type,link,city,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_m2,price_per_month,commissions,district,street,house_number,underground
0,ID 65185661,homeowner,https://ekb.cian.ru/rent/flat/295070427/,Екатеринбург,rent,flat,4,5,1,41.0,609,25000,0,Кировский,переулок Асбестовский,,
1,ID 15798070,homeowner,https://ekb.cian.ru/rent/flat/292524982/,Екатеринбург,rent,flat,9,26,2,60.0,500,30000,0,Орджоникидзевский,проспект Космонавтов,91Б,Проспект Космонавтов
2,ID 24866919,unknown,https://ekb.cian.ru/rent/flat/294853237/,Екатеринбург,rent,flat,3,5,2,60.0,266,16000,0,Центр, Восточная,80Б,Площадь 1905 года
3,ID 92673635,homeowner,https://ekb.cian.ru/rent/flat/275250680/,Екатеринбург,rent,flat,4,9,1,33.0,909,30000,0,Орджоникидзевский, Индустрии,53,Проспект Космонавтов
4,ID 102723083,homeowner,https://ekb.cian.ru/rent/flat/294980319/,Екатеринбург,rent,flat,14,17,1,38.1,498,19000,0,мкр. Широкая Речка, Хрустальногорская,84,
5,ID 16467620,homeowner,https://ekb.cian.ru/rent/flat/294915485/,Екатеринбург,rent,flat,1,5,1,22.0,500,11000,0,Чкаловский, Косарева,19,
6,ID 95023639,homeowner,https://ekb.cian.ru/rent/flat/295047441/,Екатеринбург,rent,flat,5,9,2,52.0,384,20000,0,Автовокзал, Фурманова,35,Чкаловская
7,ID 64764831,unknown,https://ekb.cian.ru/rent/flat/294980905/,Екатеринбург,rent,flat,2,10,3,90.0,1666,150000,0,Центр, Радищева,24,Геологическая
8,ID 108210685,realtor,https://ekb.cian.ru/rent/flat/294075401/,Екатеринбург,rent,flat,22,22,1,51.0,490,25000,0,Кировский, Библиотечная,50А,
9,ID 109697932,homeowner,https://ekb.cian.ru/rent/flat/294851278/,Екатеринбург,rent,flat,15,16,2,73.0,547,40000,0,Кировский, Уральская,75,Динамо
10,Антон Кремлев,realtor,https://ekb.cian.ru/rent/flat/294439397/,Екатеринбург,rent,flat,9,9,3,115.0,608,70000,0,Центр, Хохрякова,72,Геологическая
11,Первая Мастерская Недвижимости,real_estate_agent,https://ekb.cian.ru/rent/flat/294568918/,Екатеринбург,rent,flat,3,8,1,41.0,731,30000,0,Верх-Исетский, Татищева,88,Площадь 1905 года
12,ID 70812617,real_estate_agent,https://ekb.cian.ru/rent/flat/294985122/,Екатеринбург,rent,flat,18,25,1,35.0,742,26000,0,Железнодорожный,переулок Мельковский,4,Уральская
