,author,author_type,link,city,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_m2,price_per_month,commissions,district,street,house_number,underground
0,ЕВРОПА,real_estate_agent,https://kazan.cian.ru/rent/flat/278568723/,Казань,rent,flat,10,20,2,65.0,1076,70000,0,Вахитовский,Петербургская ,64,Суконная слобода
1,ЕВРОПА,real_estate_agent,https://kazan.cian.ru/rent/flat/294708409/,Казань,rent,flat,3,6,3,130.0,692,90000,0,Вахитовский, Островского,31,Площадь Тукая
2,ЕВРОПА,real_estate_agent,https://kazan.cian.ru/rent/flat/294227623/,Казань,rent,flat,5,7,4,156.0,256,40000,0,Вахитовский, Вишневского,11,
3,Las Vegas,real_estate_agent,https://kazan.cian.ru/rent/flat/293312128/,Казань,rent,flat,3,9,2,73.0,547,39999,0,Ново-Савиновский,Чистопольская ,79,
4,Las Vegas,real_estate_agent,https://kazan.cian.ru/rent/flat/293117416/,Казань,rent,flat,3,7,3,75.0,466,34999,0,Ново-Савиновский, Гаврилова,48,
5,Las Vegas,real_estate_agent,https://kazan.cian.ru/rent/flat/293313379/,Казань,rent,flat,6,7,2,60.0,666,40000,0,Вахитовский, Волкова,12,Площадь Тукая
6,ЕВРОПА,real_estate_agent,https://kazan.cian.ru/rent/flat/294193247/,Казань,rent,flat,10,20,1,32.0,625,20000,0,Советский, Азата Аббасова,7,Дубравная
7,Las Vegas,real_estate_agent,https://kazan.cian.ru/rent/flat/293240801/,Казань,rent,flat,9,9,1,40.0,774,30999,0,Вахитовский,Портовая ,37Вк1,
8,Las Vegas,real_estate_agent,https://kazan.cian.ru/rent/flat/293240798/,Казань,rent,flat,4,8,1,37.0,810,30000,0,Советский, Анаса Тазетдинова,1,
9,Las Vegas,real_estate_agent,https://kazan.cian.ru/rent/flat/293321168/,Казань,rent,flat,7,7,2,110.0,499,54990,0,Ново-Савиновский,Меридианная ,1а,Козья слобода
10,Las Vegas,real_estate_agent,https://kazan.cian.ru/rent/flat/292882574/,Казань,rent,flat,2,10,1,36.0,916,32999,0,Вахитовский,Портовая ,37к1,
11,Las Vegas,real_estate_agent,https://kazan.cian.ru/rent/flat/293249812/,Казань,rent,flat,3,10,2,45.0,666,29990,0,Советский, Мира,62к2,Авиастроительная
12,Las Vegas,real_estate_agent,https://kazan.cian.ru/rent/flat/293256536/,Казань,rent,flat,1,5,3,90.0,555,49990,0,Вахитовский,Лево-Булачная ,50А,Площадь Тукая
13,Las Vegas,real_estate_agent,https://kazan.cian.ru/rent/flat/293069688/,Казань,rent,flat,4,9,4,150.0,600,90000,0,Вахитовский,Большая Красная ,8,
14,Las Vegas,real_estate_agent,https://kazan.cian.ru/rent/flat/293312131/,Казань,rent,flat,17,22,2,57.0,701,39999,0,Ново-Савиновский,Чистопольская ,86/10,
15,Las Vegas,real_estate_agent,https://kazan.cian.ru/rent/flat/292950501/,Казань,rent,flat,4,5,3,130.0,538,70000,0,Вахитовский, Баумана,36,Кремлёвская
16,Las Vegas,real_estate_agent,https://kazan.cian.ru/rent/flat/293176581/,Казань,rent,flat,2,3,1,35.0,914,31990,0,Вахитовский, Бутлерова,34,Площадь Тукая
17,Las Vegas,real_estate_agent,https://kazan.cian.ru/rent/flat/291858310/,Казань,rent,flat,17,21,2,60.0,666,39990,0,Приволжский, Братьев Касимовых,35,
18,Las Vegas,real_estate_agent,https://kazan.cian.ru/rent/flat/293321182/,Казань,rent,flat,2,20,3,72.0,694,49999,0,Кировский,Комсомольская ,2,Козья слобода
19,Las Vegas,real_estate_agent,https://kazan.cian.ru/rent/flat/293310768/,Казань,rent,flat,7,9,2,62.0,628,38990,0,Советский, Николая Ершова,62Г,
20,Las Vegas,real_estate_agent,https://kazan.cian.ru/rent/flat/293077382/,Казань,rent,flat,5,8,1,36.0,1388,49999,0,Кировский,Приволжская ,210,
21,Las Vegas,real_estate_agent,https://kazan.cian.ru/rent/flat/293297295/,Казань,rent,flat,2,6,2,60.0,583,34999,0,Вахитовский, Галиаскара Камала,53,Площадь Тукая
22,Las Vegas,real_estate_agent,https://kazan.cian.ru/rent/flat/293249803/,Казань,rent,flat,3,8,3,140.0,928,129999,0,Вахитовский,Федосеевская ,38,Кремлёвская
