,author,author_type,link,city,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_m2,price_per_month,commissions,district,street,house_number,underground
0,KOVCHEG,real_estate_agent,https://www.cian.ru/rent/flat/294715265/,Москва,rent,flat,9,17,1,42.0,1309,55000,0,Черемушки, Наметкина,13к1,Новые Черёмушки
1,ID 438029,realtor,https://www.cian.ru/rent/flat/294909620/,Москва,rent,flat,18,27,1,42.0,1785,75000,0,Ломоносовский, Панферова,4,Университет
2,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/294738678/,Москва,rent,flat,5,10,1,22.6,1716,38800,0,, Александры Монаховой,94к2,Бунинская аллея
3,ID 18835544,official_representative,https://www.cian.ru/rent/flat/278216280/,Москва,rent,flat,7,12,2,90.0,6666,600000,0,Тверской, Охотный Ряд,2,Охотный ряд
4,Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/293989512/,Москва,rent,flat,4,8,4,223.0,3363,750000,0,Хамовники,1-й Зачатьевский переулок,5,Парк Культуры
5,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/294605494/,Москва,rent,flat,3,5,2,43.3,1214,52600,0,Южное Тушино,бульвар Яна Райниса,11,Сходненская
6,Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/293978973/,Москва,rent,flat,4,8,4,223.0,3363,750000,0,Хамовники,1-й Зачатьевский переулок,5,Парк Культуры
7,The IMPERIUM,real_estate_agent,https://www.cian.ru/rent/flat/294036828/,Москва,rent,flat,4,8,4,224.0,3348,750000,0,Хамовники,1-й Зачатьевский переулок,5,Парк Культуры
8,ID 44403021,real_estate_agent,https://www.cian.ru/rent/flat/294721392/,Москва,rent,flat,15,16,3,60.0,916,55000,0,, Потаповская Роща,20к2,Бульвар Адмирала Ушакова
9,KOVCHEG,real_estate_agent,https://www.cian.ru/rent/flat/294769208/,Москва,rent,flat,9,17,3,80.0,1187,95000,0,Хорошево-Мневники, Маршала Тухачевского,16к1,Народное Ополчение
10,Славянский Двор Остоженка,real_estate_agent,https://www.cian.ru/rent/flat/295062541/,Москва,rent,flat,4,6,2,180.0,4444,800000,0,Хамовники,Пречистенская набережная,17-19,Кропоткинская
11,PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/rent/flat/294561575/,Москва,rent,flat,3,5,2,44.0,1818,80000,0,Сокольники,Стромынский переулок,6,Сокольники
12,Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/294887468/,Москва,rent,flat,3,5,4,160.0,6250,1000000,0,Замоскворечье,Садовническая ,29,Новокузнецкая
13,The IMPERIUM,real_estate_agent,https://www.cian.ru/rent/flat/294575528/,Москва,rent,flat,2,9,2,40.0,1625,65000,0,Беговой,Расковой переулок,17,Белорусская
14,ID 12958101,official_representative,https://www.cian.ru/rent/flat/286275438/,Москва,rent,flat,12,22,1,21.0,2380,50000,0,Покровское-Стрешнево,Волоколамское шоссе,71/22к3,Спартак
15,Liberty Estate,real_estate_agent,https://www.cian.ru/rent/flat/294518860/,Москва,rent,flat,18,22,3,100.0,1700,170000,0,Раменки, Лобачевского,118к4,Аминьевская
16,Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/293449666/,Москва,rent,flat,2,7,3,179.0,5586,1000000,0,Хамовники,1-й Зачатьевский переулок,8с1,Кропоткинская
17,OXE CAPITAL - Элитная Недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/272808444/,Москва,rent,flat,66,79,2,113.0,8849,1000000,0,Пресненский,1-й Красногвардейский проезд,22с1,Выставочная
18,Каскад,real_estate_agent,https://www.cian.ru/rent/flat/294964491/,Москва,rent,flat,2,9,2,40.0,1625,65000,0,Беговой,Расковой переулок,17,Белорусская
19,Славянский Двор Остоженка,real_estate_agent,https://www.cian.ru/rent/flat/275932772/,Москва,rent,flat,2,7,3,180.0,5000,900000,0,Хамовники,1-й Зачатьевский переулок,8с1,Кропоткинская
20,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/294785238/,Москва,rent,flat,13,18,3,67.7,1002,67900,0,, Александры Монаховой,94к3,Бунинская аллея
21,РЕНТТЕХПЛЕЙС,official_representative,https://www.cian.ru/rent/flat/294944403/,Москва,rent,flat,38,78,2,77.0,3506,270000,0,Пресненский,1-й Красногвардейский проезд,22с2,Тестовская
22,Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/293316254/,Москва,rent,flat,6,7,3,116.0,3448,400000,0,Арбат,1-й Смоленский переулок,21,Смоленская
23,The IMPERIUM,real_estate_agent,https://www.cian.ru/rent/flat/294870635/,Москва,rent,flat,10,21,3,60.0,1166,70000,0,Люблино,Люблинская ,76к2,Перерва
24,Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/292803543/,Москва,rent,flat,13,14,4,178.0,2191,390000,0,Арбат,1-й Смоленский переулок,17,Смоленская
25,Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/293348824/,Москва,rent,flat,6,7,3,115.0,3478,400000,0,Арбат,1-й Смоленский переулок,21,Смоленская
26,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/294770714/,Москва,rent,flat,2,5,1,23.0,2508,57700,0,Ростокино,Сельскохозяйственная ,17к4,Ботанический сад
27,Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/291690469/,Москва,rent,flat,13,14,4,178.0,2191,390000,0,Арбат,1-й Смоленский переулок,17,Смоленская
28,CROCUS ESTATE,real_estate_agent,https://www.cian.ru/rent/flat/291843145/,Москва,rent,flat,18,25,3,100.0,1750,175000,0,Раменки, Лобачевского,118к2,Аминьевская
29,The IMPERIUM,real_estate_agent,https://www.cian.ru/rent/flat/294836640/,Москва,rent,flat,6,8,3,67.0,1194,80000,0,Москворечье-Сабурово,переулок 1-й Котляковский,2Ак3,Варшавская
30,Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/291727279/,Москва,rent,flat,11,18,4,168.0,2261,380000,0,Дорогомилово,Дохтуровский переулок,6,Студенческая
31,Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/294034235/,Москва,rent,flat,11,18,4,161.0,2360,380000,0,Дорогомилово,Дохтуровский переулок,6,Студенческая
32,МОСКВА СИТИ,real_estate_agent,https://www.cian.ru/rent/flat/279725528/,Москва,rent,flat,62,68,3,85.0,2941,250000,0,Пресненский,1-й Красногвардейский проезд,22с1,Выставочная
33,Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/294831864/,Москва,rent,flat,3,6,3,100.0,8500,850000,0,Замоскворечье,Садовническая набережная,7,Новокузнецкая
34,Дмитрий Моргунов,realtor,https://www.cian.ru/rent/flat/294311033/,Москва,rent,flat,55,55,1,63.0,3809,240000,0,Пресненский,1-й Красногвардейский проезд,22с1,Тестовская
35,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/294702132/,Москва,rent,flat,10,25,3,60.0,1166,70000,0,Люблино,Люблинская ,76к2,Перерва
36,ID 13679628,homeowner,https://www.cian.ru/rent/flat/294804134/,Москва,rent,flat,5,5,2,60.0,2666,160000,0,Тверской,Дегтярный переулок,15к2,Пушкинская
37,Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/294593099/,Москва,rent,flat,3,6,3,100.0,8500,850000,0,Замоскворечье,Садовническая набережная,7,Новокузнецкая
38,ID 12958101,official_representative,https://www.cian.ru/rent/flat/269511704/,Москва,rent,flat,1,2,1,17.0,2529,42999,0,Нагатино-Садовники,Старокаширское шоссе,4к3,Каширская
39,Kalinka Group,real_estate_agent,https://www.cian.ru/rent/flat/295008669/,Москва,rent,flat,3,6,3,100.0,8500,850000,0,Замоскворечье,Садовническая набережная,7,Новокузнецкая
40,Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/253666383/,Москва,rent,flat,13,15,3,230.0,2826,650000,0,Тверской,Газетный переулок,13,Охотный ряд
