,author,author_type,link,city,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_m2,price_per_month,commissions,district,street,house_number,underground
0,HOME НЕДВИЖИМОСТЬ,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294981771/,Новосибирск,rent,flat,15,25,1,32.0,1250,40000,0,Заельцовский,Красный проспект,173/1,Заельцовская
1,HOME НЕДВИЖИМОСТЬ,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294982906/,Новосибирск,rent,flat,5,16,3,110.0,500,55000,0,Железнодорожный,Нарымская ,17/1,Красный Проспект
2,Ривьера,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/295023231/,Новосибирск,rent,flat,4,5,1,31.0,838,26000,0,Калининский, Объединения,19/1,
3,HOME НЕДВИЖИМОСТЬ,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294629137/,Новосибирск,rent,flat,3,17,2,54.0,833,45000,0,Октябрьский,Большевистская ,98,Речной вокзал
4,HOME НЕДВИЖИМОСТЬ,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294842035/,Новосибирск,rent,flat,22,22,3,54.0,925,50000,0,Ленинский,площадь Райсовета,14,Площадь Маркса
5,Ольга Матвеева,realtor,https://novosibirsk.cian.ru/rent/flat/291615410/,Новосибирск,rent,flat,1,9,1,20.0,750,15000,0,Советский, Русская,29,
6,ID 109155867,homeowner,https://novosibirsk.cian.ru/rent/flat/294233854/,Новосибирск,rent,flat,4,11,2,50.0,500,25000,0,Октябрьский,Выборная ,105/2,Октябрьская
7,ID 105610612,homeowner,https://novosibirsk.cian.ru/rent/flat/290359569/,Новосибирск,rent,flat,10,14,1,32.0,937,30000,0,Дзержинский, Николая Островского,195/1,Березовая Роща
8,ID 109735345,homeowner,https://novosibirsk.cian.ru/rent/flat/294843388/,Новосибирск,rent,flat,1,2,2,50.0,200,10000,0,Первомайский,Бердское шоссе,32,Речной вокзал
9,ID 37362256,homeowner,https://novosibirsk.cian.ru/rent/flat/294695701/,Новосибирск,rent,flat,2,5,2,46.0,739,34000,0,Кировский, Ватутина,55,Площадь Маркса
10,Ольга Панина,realtor,https://novosibirsk.cian.ru/rent/flat/295001853/,Новосибирск,rent,flat,6,18,1,22.0,636,14000,0,Кировский, Виктора Уса,9,
11,Этажи Новосибирск,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294718837/,Новосибирск,rent,flat,2,4,1,31.5,698,22000,0,Советский, Терешковой,44,
12,Денис Чернов,realtor,https://novosibirsk.cian.ru/rent/flat/294981269/,Новосибирск,rent,flat,3,12,1,40.0,450,18000,0,Кировский, Петухова,103/2,
13,HOME НЕДВИЖИМОСТЬ,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/295044050/,Новосибирск,rent,flat,5,5,1,31.0,774,24000,0,Центральный, Гоголя,17,
14,HOME НЕДВИЖИМОСТЬ,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294594579/,Новосибирск,rent,flat,17,25,2,43.0,790,34000,0,Железнодорожный,Сибирская ,42,Площадь Гарина-Михайловского
15,Ольга Панина,realtor,https://novosibirsk.cian.ru/rent/flat/295047790/,Новосибирск,rent,flat,6,19,1,42.0,595,25000,0,Дзержинский,проспект Дзержинского,34/2,Березовая Роща
16,HOME НЕДВИЖИМОСТЬ,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/295028671/,Новосибирск,rent,flat,4,9,3,60.0,500,30000,0,Ленинский,Широкая ,133/1,Площадь Маркса
17,Квадротека,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/292831408/,Новосибирск,rent,flat,6,16,1,25.0,600,15000,0,Кировский, Петухова,162,Площадь Маркса
18,Эксклюзив,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/295011946/,Новосибирск,rent,flat,17,27,1,45.0,777,35000,0,Дзержинский, Кошурникова,23,Золотая Нива
19,HOME НЕДВИЖИМОСТЬ,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/295044043/,Новосибирск,rent,flat,1,5,3,56.0,446,25000,0,Заельцовский,Кубовая ,102,
20,Татьяна Быкова,realtor,https://novosibirsk.cian.ru/rent/flat/268704704/,Новосибирск,rent,flat,19,19,1,45.0,666,30000,0,Заельцовский, Дуси Ковальчук,238,Заельцовская
21,HOME НЕДВИЖИМОСТЬ,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/287484684/,Новосибирск,rent,flat,21,25,1,44.0,1136,50000,0,Заельцовский,Кавалерийская ,23,Заельцовская
22,Эксклюзив,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294562488/,Новосибирск,rent,flat,6,9,2,47.0,638,30000,0,Заельцовский,Дачная ,21/4,Заельцовская
23,Александр Садовский,realtor,https://novosibirsk.cian.ru/rent/flat/294749053/,Новосибирск,rent,flat,3,3,1,36.0,416,15000,0,Ленинский,Большая ,622,Площадь Маркса
24,Ольга Панина,realtor,https://novosibirsk.cian.ru/rent/flat/294943711/,Новосибирск,rent,flat,5,10,1,40.0,625,25000,0,Октябрьский, Федосеева,3,Золотая Нива
25,Денис Чернов,realtor,https://novosibirsk.cian.ru/rent/flat/294806398/,Новосибирск,rent,flat,6,15,2,47.0,744,35000,0,Ленинский, Пархоменко,104,
26,Татьяна Быкова,realtor,https://novosibirsk.cian.ru/rent/flat/287281031/,Новосибирск,rent,flat,12,25,1,32.3,866,28000,0,Ленинский, Немировича-Данченко,167/2,Студенческая
27,HOME НЕДВИЖИМОСТЬ,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/292216760/,Новосибирск,rent,flat,5,16,3,100.0,1450,145000,0,Центральный, Чаплыгина,93,
28,Эксклюзив,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294939027/,Новосибирск,rent,flat,7,18,1,42.0,714,30000,0,Ленинский,,8А,Студенческая
29,ID 94867922,unknown,https://novosibirsk.cian.ru/rent/flat/294649116/,Новосибирск,rent,flat,4,10,1,25.0,800,20000,0,Заельцовский,Кубовая ,113/5,
30,Наследие,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294984544/,Новосибирск,rent,flat,8,12,3,61.0,573,35000,0,Кировский,Вертковская ,21,Площадь Маркса
31,ID 58951264,unknown,https://novosibirsk.cian.ru/rent/flat/294990257/,Новосибирск,rent,flat,2,5,1,31.0,612,19000,0,Калининский, Богдана Хмельницкого,4,Заельцовская
32,ID 24138469,homeowner,https://novosibirsk.cian.ru/rent/flat/294648403/,Новосибирск,rent,flat,2,9,1,42.0,666,28000,0,Октябрьский,Пролетарская ,271/2,
33,ID 102789636,unknown,https://novosibirsk.cian.ru/rent/flat/294955523/,Новосибирск,rent,flat,5,21,1,36.0,722,26000,0,Октябрьский, Михаила Кулагина,31,Березовая Роща
34,ID 58951264,unknown,https://novosibirsk.cian.ru/rent/flat/294847673/,Новосибирск,rent,flat,1,5,2,45.0,355,16000,0,Ленинский,Фасадная ,10,Площадь Маркса
35,Ваш Академгородок,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294761179/,Новосибирск,rent,flat,2,7,3,78.0,320,25000,0,Центральный,Октябрьская ,40,
36,ID 101140881,homeowner,https://novosibirsk.cian.ru/rent/flat/294896648/,Новосибирск,rent,flat,7,14,3,109.0,504,55000,0,Центральный, Крылова,48,Маршала Покрышкина
37,Сергей  Санников,realtor,https://novosibirsk.cian.ru/rent/flat/207025933/,Новосибирск,rent,flat,6,10,2,55.0,654,36000,0,Заельцовский,Холодильная ,18/3,Гагаринская
38,ID 52319353,realtor,https://novosibirsk.cian.ru/rent/flat/258129855/,Новосибирск,rent,flat,12,16,1,26.0,846,22000,0,Заельцовский, Дмитрия Донского,24/1,Заельцовская
39,ID 72217490,homeowner,https://novosibirsk.cian.ru/rent/flat/294573437/,Новосибирск,rent,flat,7,9,3,65.0,676,44000,0,Советский, Иванова,28А,
40,ID 109658438,homeowner,https://novosibirsk.cian.ru/rent/flat/294748033/,Новосибирск,rent,flat,2,25,3,54.5,1100,60000,0,Заельцовский, Дмитрия Донского,21/1,
41,ID 47885316,homeowner,https://novosibirsk.cian.ru/rent/flat/294806369/,Новосибирск,rent,flat,2,5,3,60.0,550,33000,0,Октябрьский, Декабристов,72,Речной вокзал
42,ID 109812444,homeowner,https://novosibirsk.cian.ru/rent/flat/294939132/,Новосибирск,rent,flat,1,5,2,48.0,520,25000,0,Ленинский,Киевская ,11,Площадь Маркса
43,ID 75021214,homeowner,https://novosibirsk.cian.ru/rent/flat/294796827/,Новосибирск,rent,flat,20,23,2,55.0,1327,73000,0,Железнодорожный,Фабричная ,65/2,Площадь Гарина-Михайловского
44,Созвездие Весов,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/291626824/,Новосибирск,rent,flat,2,10,1,37.0,486,18000,0,Советский, Лесосечная,3,Речной вокзал
45,ID 62689188,realtor,https://novosibirsk.cian.ru/rent/flat/294869478/,Новосибирск,rent,flat,2,9,3,59.4,757,45000,0,Центральный, Максима Горького,104,Площадь Ленина
46,ID 19671603,homeowner,https://novosibirsk.cian.ru/rent/flat/281588962/,Новосибирск,rent,flat,15,28,1,50.0,1200,60000,0,Октябрьский, Сибревкома,9,Октябрьская
47,ID 18217423,homeowner,https://novosibirsk.cian.ru/rent/flat/294714829/,Новосибирск,rent,flat,3,4,1,32.0,625,20000,0,Кировский,Рубежная ,56,Площадь Маркса
48,ID 100478357,homeowner,https://novosibirsk.cian.ru/rent/flat/294807832/,Новосибирск,rent,flat,14,27,1,30.0,1166,35000,0,Центральный, Крылова,34,Сибирская
49,Этажи Новосибирск,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294966973/,Новосибирск,rent,flat,5,17,1,39.0,846,33000,0,Ленинский, Ясный Берег,4,
50,ID 104349571,homeowner,https://novosibirsk.cian.ru/rent/flat/294082216/,Новосибирск,rent,flat,3,9,1,20.0,850,17000,0,Кировский, Зорге,34,
51,Этажи Новосибирск,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294962290/,Новосибирск,rent,flat,11,26,1,40.0,875,35000,0,Ленинский, Ясный Берег,27,
52,ЖИЛФОНД,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294981033/,Новосибирск,rent,flat,2,2,1,30.0,500,15000,0,Советский, Иванова,22,Студенческая
53,ID 109657711,homeowner,https://novosibirsk.cian.ru/rent/flat/294747883/,Новосибирск,rent,flat,10,10,2,47.0,468,22000,0,Кировский, Комсомольская,4,Студенческая
54,Ваш Академгородок,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/295002780/,Новосибирск,rent,flat,5,5,1,30.0,500,15000,0,Советский,Часовая ,13,Студенческая
55,МакроМир,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/295034179/,Новосибирск,rent,flat,5,7,1,43.0,395,17000,0,Октябрьский,Выборная ,99/7,Речной вокзал
56,ID 92061138,homeowner,https://novosibirsk.cian.ru/rent/flat/281498852/,Новосибирск,rent,flat,14,19,1,31.0,741,23000,0,Первомайский, Одоевского,1/2,
57,ЖИЛФОНД,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/295044599/,Новосибирск,rent,flat,14,15,1,38.0,473,18000,0,Ленинский, Титова,253/3,Площадь Маркса
58,Сфера,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/295011555/,Новосибирск,rent,flat,10,14,1,33.0,636,21000,0,Советский,Березовская ,11,Площадь Маркса
59,ID 76556639,unknown,https://novosibirsk.cian.ru/rent/flat/294760341/,Новосибирск,rent,flat,15,27,1,40.0,675,27000,0,Заельцовский,Дачная ,5,Заельцовская
60,Ваш Академгородок,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/295049590/,Новосибирск,rent,flat,5,7,1,48.0,458,22000,0,Советский, Иванова,17,
61,Бэст-Лэнд,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294984669/,Новосибирск,rent,flat,6,9,2,44.0,500,22000,0,Кировский, Станиславского,29/1,Площадь Маркса
62,ФОРУМ,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294797254/,Новосибирск,rent,flat,3,5,1,32.0,781,25000,0,Дзержинский,проспект Дзержинского,22,Березовая Роща
63,ЖИЛФОНД,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294994500/,Новосибирск,rent,flat,2,5,2,45.0,488,22000,0,Ленинский,Степная ,67/1,Площадь Маркса
64,Алексей Шерин,realtor,https://novosibirsk.cian.ru/rent/flat/295026480/,Новосибирск,rent,flat,2,9,2,46.0,500,23000,0,Дзержинский, Есенина,12,Золотая Нива
65,ID 92674625,unknown,https://novosibirsk.cian.ru/rent/flat/294893574/,Новосибирск,rent,flat,2,10,1,37.3,428,16000,0,Калининский, Краузе,5,
66,ЖИЛФОНД,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/295028698/,Новосибирск,rent,flat,3,5,2,42.0,547,23000,0,Кировский, Петухова,112,Площадь Маркса
67,РиэлтПрофи,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/278028081/,Новосибирск,rent,flat,5,17,1,38.0,605,23000,0,Советский, 2-я Миргородская,3,
68,ID 48858675,realtor,https://novosibirsk.cian.ru/rent/flat/292979167/,Новосибирск,rent,flat,17,27,1,40.0,475,19000,0,Кировский, Оловозаводская,13,
69,Начало перемен,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/295058212/,Новосибирск,rent,flat,7,9,2,43.0,558,24000,0,Заельцовский, Дуси Ковальчук,14,
70,Антон Дятлов,realtor,https://novosibirsk.cian.ru/rent/flat/295014842/,Новосибирск,rent,flat,5,26,1,39.0,615,24000,0,Дзержинский, Гоголя,205/1,Березовая Роща
71,Этажи Новосибирск,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294485309/,Новосибирск,rent,flat,9,10,3,74.0,472,35000,0,Октябрьский, Грибоедова,32/2,
72,VDOME,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/295035720/,Новосибирск,rent,flat,5,5,2,41.0,609,25000,0,Калининский, Объединения,21,Заельцовская
73,Сфера,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/295058531/,Новосибирск,rent,flat,7,14,1,41.0,609,25000,0,Калининский, Краузе,25,Заельцовская
74,Центр недвижимости и права,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/278500204/,Новосибирск,rent,flat,6,9,1,32.0,781,25000,0,Заельцовский,Красный проспект,87,Гагаринская
75,РЦН на Башне,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294980969/,Новосибирск,rent,flat,4,12,2,63.5,393,25000,0,Кировский, Николая Сотникова,12,Студенческая
76,HOME НЕДВИЖИМОСТЬ,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294982915/,Новосибирск,rent,flat,2,25,1,37.0,702,26000,0,Октябрьский,Гурьевская ,177/1,Золотая Нива
77,ID 107827241,homeowner,https://novosibirsk.cian.ru/rent/flat/295042181/,Новосибирск,rent,flat,9,25,3,120.0,125,15000,0,Заельцовский, Галущака,15,Гагаринская
78,Агент 54,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294980260/,Новосибирск,rent,flat,2,17,1,46.0,586,27000,0,Ленинский, Серафимовича,20,Площадь Маркса
79,ЖИЛФОНД,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/295061936/,Новосибирск,rent,flat,25,25,1,42.0,642,27000,0,Октябрьский, Чехова,111,Октябрьская
80,HOME НЕДВИЖИМОСТЬ,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294449555/,Новосибирск,rent,flat,10,19,1,25.0,1040,26000,0,Ленинский, Ясный Берег,12,Площадь Гарина-Михайловского
81,ЖИЛФОНД,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/295000743/,Новосибирск,rent,flat,2,17,1,39.0,692,27000,0,Дзержинский, Гоголя,204/2,Березовая Роща
82,HOME НЕДВИЖИМОСТЬ,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294981766/,Новосибирск,rent,flat,8,9,1,36.4,741,27000,0,Заельцовский,Линейная ,45,Гагаринская
83,ЖИЛФОНД,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294761888/,Новосибирск,rent,flat,3,10,1,34.0,500,17000,0,Ленинский,Киевская ,3,Площадь Маркса
84,МакроМир,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/295034947/,Новосибирск,rent,flat,8,12,3,77.0,363,28000,0,Кировский, Петухова,99/2,Студенческая
85,HOME НЕДВИЖИМОСТЬ,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/295031216/,Новосибирск,rent,flat,2,5,2,42.0,690,29000,0,Ленинский,проспект Карла Маркса,27,Студенческая
86,ID 44853183,homeowner,https://novosibirsk.cian.ru/rent/flat/220595819/,Новосибирск,rent,flat,7,10,1,34.0,470,16000,0,Ленинский, Ивана Севастьянова,5,
87,ЖИЛФОНД,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294984006/,Новосибирск,rent,flat,10,17,1,40.0,750,30000,0,Центральный, Державина,73,Маршала Покрышкина
88,HOME НЕДВИЖИМОСТЬ,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294999107/,Новосибирск,rent,flat,5,5,3,60.0,500,30000,0,Железнодорожный,Сибирская ,31А,
89,ID 109911486,homeowner,https://novosibirsk.cian.ru/rent/flat/295026782/,Новосибирск,rent,flat,9,18,1,42.0,380,16000,0,Кировский, Александра Чистякова,22/2,Площадь Маркса
90,HOME НЕДВИЖИМОСТЬ,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294997974/,Новосибирск,rent,flat,3,5,2,48.0,625,30000,0,Ленинский, Титова,16,Площадь Маркса
