,author,author_type,link,city,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_m2,price_per_month,commissions,district,street,house_number,underground
0,Домотелли,real_estate_agent,https://spb.cian.ru/rent/flat/294606629/,Санкт-Петербург,rent,flat,3,25,2,80.0,625,50000,0,Приморский,Коломяжский проспект,15к2,Пионерская
1,Soft House Estate,real_estate_agent,https://spb.cian.ru/rent/flat/293372549/,Санкт-Петербург,rent,flat,20,24,3,73.0,821,60000,0,Приморский,Фермское шоссе,32,Удельная
2,ПИК-Аренда СПб,real_estate_agent,https://spb.cian.ru/rent/flat/294654191/,Санкт-Петербург,rent,flat,22,22,1,22.0,972,21400,0,Красногвардейский,Полюстрово,8к4,Девяткино
3,ПИК-Аренда СПб,real_estate_agent,https://spb.cian.ru/rent/flat/294499486/,Санкт-Петербург,rent,flat,3,25,1,39.0,871,34000,0,Приморский,проспект Орлово-Денисовский,19к2,Проспект Просвещения
4,ПИК-Аренда СПб,real_estate_agent,https://spb.cian.ru/rent/flat/295034105/,Санкт-Петербург,rent,flat,23,24,2,59.1,605,35800,0,Приморский,Парашютная ,36к1,Комендантский проспект
5,ПИК-Аренда СПб,real_estate_agent,https://spb.cian.ru/rent/flat/293543277/,Санкт-Петербург,rent,flat,3,5,1,42.3,1418,60000,0,Адмиралтейский,набережная Канала Грибоедова,119-121,Спасская
6,Циан х ПИК-Аренда СПб,real_estate_agent,https://spb.cian.ru/rent/flat/294789239/,Санкт-Петербург,rent,flat,7,12,1,32.0,1150,36800,0,Приморский,Планерная ,87к1,Комендантский проспект
7,Циан х ПИК-Аренда СПб,real_estate_agent,https://spb.cian.ru/rent/flat/295017991/,Санкт-Петербург,rent,flat,10,14,1,53.0,1281,67900,0,Приморский,Фермское шоссе,12И,Удельная
8,SAMOцвет,real_estate_agent,https://spb.cian.ru/rent/flat/294881838/,Санкт-Петербург,rent,flat,3,9,1,38.0,1447,55000,0,Московский,Черниговская ,13к2,Московские ворота
9,Soft House Estate,real_estate_agent,https://spb.cian.ru/rent/flat/293648730/,Санкт-Петербург,rent,flat,15,26,2,76.0,855,65000,0,Невский,проспект Большевиков,7к3,Проспект Большевиков
10,Active Group - Арендафон. Штаб Квартир,real_estate_agent,https://spb.cian.ru/rent/flat/292047810/,Санкт-Петербург,rent,flat,3,5,4,232.0,1077,250000,0,Центральный, Чайковского,51,Чернышевская
11,NEDmax,real_estate_agent,https://spb.cian.ru/rent/flat/294416742/,Санкт-Петербург,rent,flat,2,7,3,97.0,1958,190000,0,Центральный,Стремянная ,15/1,Площадь Восстания
